Type,Location,Country,2012,2013,2014,2015,2016
Accomodation,Domestic,Latvia,3.59,6.6,7.06,5.27,4.52
Accomodation,Abroad,Latvia,65.96,110.11,113.04,118.18,103.52
Eating out,Domestic,Latvia,2.47,5.59,4.71,6.14,4.57
Eating out,Abroad,Latvia,22.15,40.28,27.76,38.53,36.54
Other,Domestic,Latvia,15.82,14.03,13.63,14.18,14.38
Other,Abroad,Latvia,89.54,87.86,61.55,79.52,72.81
Shopping,Domestic,Latvia,0.27,0.92,0.15,0.3,0
Shopping,Abroad,Latvia,14.22,4.89,4.58,4.57,3.1
Total,Domestic,Latvia,35.29,41.13,38.73,40.07,36.26
Total,Abroad,Latvia,331.24,381.28,342.7,355.4,340.95
Transport,Domestic,Latvia,13.4,14.91,13.33,14.47,12.79
Transport,Abroad,Latvia,153.59,143.03,140.35,119.17,128.08
Accomodation,Domestic,Lithuania,13.8,14.88,21.47,27.81,31.49
Accomodation,Abroad,Lithuania,93.14,102.4,125.53,133.26,152.55
Eating out,Domestic,Lithuania,11.31,13.36,10.67,11.48,12.15
Eating out,Abroad,Lithuania,61.62,50.86,52.62,51.91,53.09
Other,Domestic,Lithuania,10.43,9.67,8.18,5.97,7.36
Other,Abroad,Lithuania,165.33,180.11,116.71,95.75,99.86
Shopping,Domestic,Lithuania,0.24,0.58,0.49,0.52,0.59
Shopping,Abroad,Lithuania,12.12,0.7,3.02,4.64,9.54
Total,Domestic,Lithuania,46.37,49.44,51.94,60.8,67.16
Total,Abroad,Lithuania,431.98,452.17,439.13,436.7,449.19
Transport,Domestic,Lithuania,10.83,11.53,11.62,15.54,16.16
Transport,Abroad,Lithuania,111.88,118.8,144.26,155.78,143.7
Accomodation,Domestic,Luxembourg,60.69,41.5,166.66,152.51,194.52
Accomodation,Abroad,Luxembourg,252.19,261.77,276.92,252.49,255.72
Eating out,Domestic,Luxembourg,41.81,40.09,64.14,165.69,163.65
Eating out,Abroad,Luxembourg,176.73,170.83,174.11,214.3,230.61
Other,Domestic,Luxembourg,12.64,42.35,50.92,53.25,49.46
Other,Abroad,Luxembourg,71.09,81.8,101.03,99.21,96.99
Shopping,Domestic,Luxembourg,1.25,2.35,0,0,7.75
Shopping,Abroad,Luxembourg,7.74,12.89,6.16,4.07,1.82
Total,Domestic,Luxembourg,153.36,192.2,473.33,517.7,537.9
Total,Abroad,Luxembourg,766.82,779.98,805.48,781.65,814.39
Transport,Domestic,Luxembourg,38.22,68.26,191.61,146.25,130.27
Transport,Abroad,Luxembourg,266.81,265.58,253.42,215.65,231.07
Accomodation,Domestic,Malta,59.59,44.28,55.29,48.43,53.67
Accomodation,Abroad,Malta,232.63,230.28,244.57,268.75,251
Eating out,Domestic,Malta,:,:,:,:,:
Eating out,Abroad,Malta,:,:,:,:,:
Other,Domestic,Malta,57.41,68.79,84.29,83.98,99.75
Other,Abroad,Malta,544.97,542.52,394.77,396.81,462.1
Shopping,Domestic,Malta,0,0,4.33,0.13,0.63
Shopping,Abroad,Malta,0,0,62.88,46.12,50.45
Total,Domestic,Malta,125.98,122.25,150.51,142.6,164.07
Total,Abroad,Malta,1041.66,1020.15,877.43,897.58,911.58
Transport,Domestic,Malta,8.98,9.17,10.93,10.2,10.65
Transport,Abroad,Malta,264.06,247.36,238.09,232.01,198.48
Accomodation,Domestic,Netherlands,46.76,49.2,49.09,55.91,62.27
Accomodation,Abroad,Netherlands,264,262.39,246.17,249.61,259.09
Eating out,Domestic,Netherlands,22.11,23.35,22.51,25.16,27.9
Eating out,Abroad,Netherlands,105.3,102.14,97.44,97.79,100.27
Other,Domestic,Netherlands,13.56,15.07,24.05,25.28,26.88
Other,Abroad,Netherlands,74.47,71.59,93.58,86.23,97.64
Shopping,Domestic,Netherlands,12.3,13.27,0.84,0.51,1.91
Shopping,Abroad,Netherlands,51.81,53.47,17.2,11.94,19.7
Total,Domestic,Netherlands,103.94,109.23,118.95,129.26,140.76
Total,Abroad,Netherlands,710.85,705.41,680.41,673.97,694.83
Transport,Domestic,Netherlands,21.51,21.6,23.3,22.9,23.7
Transport,Abroad,Netherlands,267.09,269.29,243.21,240.34,237.83
Accomodation,Domestic,Poland,59.51,62.38,30.77,35.68,37.55
Accomodation,Abroad,Poland,194.09,238.06,134.57,138.93,139.22
Eating out,Domestic,Poland,49.55,50.57,32.32,35.8,38.5
Eating out,Abroad,Poland,142.72,125.76,105.6,106.28,111
Other,Domestic,Poland,36.01,21.46,21.31,21.53,20.89
Other,Abroad,Poland,135.66,63.53,84.76,84.51,92.36
Shopping,Domestic,Poland,7.17,4.88,0.43,0.47,0.25
Shopping,Abroad,Poland,29.03,42.32,4.79,4.04,2.74
Total,Domestic,Poland,196.93,175.37,105.47,115.09,119.17
Total,Abroad,Poland,757.73,636.33,495.13,502.03,508.9
