Country,HALE,Country,Health expenditure
Papua New Guinea,58,Papua New Guinea,3.6
Paraguay,65.3,Paraguay,6.3
Peru,67.5,Peru,10
Philippines,61.7,Philippines,3.8
Poland,68.5,Poland,2.7
Portugal,72,Portugal,10.6
Qatar,68.6,Qatar,7
Republic of Korea,73,Republic of Korea,3.8
Republic of Moldova,63.6,Republic of Moldova,7.8
Romania,66.6,Romania,5.3
Russian Federation,63.5,Russian Federation,4.4
Rwanda,59.9,Rwanda,6.3
Saint Lucia,66.4,Saint Lucia,9
Saint Vincent and the Grenadines,63.4,Saint Vincent and the Grenadines,3.1
Samoa,66,Samoa,7.4
Sao Tome and Principe,60.7,Sao Tome and Principe,10.2
Saudi Arabia,65.7,Saudi Arabia,5
Senegal,58.8,Senegal,5.6
Serbia,67.4,Serbia,7.9
Seychelles,65.7,Seychelles,5.6
Sierra Leone,47.6,Sierra Leone,6
Singapore,76.2,Singapore,4.2
Slovakia,68.3,Slovakia,5.6
Slovenia,70.5,Slovenia,6.8
Solomon Islands,61.9,Solomon Islands,9.8
Somalia,50,Somalia,5.8
South Africa,55.7,South Africa,4
South Sudan,50.6,South Sudan,9.4
Spain,73.8,Spain,3.4
Sri Lanka,66.8,Sri Lanka,18.3
Sudan,55.7,Sudan,4.3
Suriname,63.2,Suriname,6.9
Sweden,72.4,Sweden,8.5
Switzerland,73.5,Switzerland,8
Syrian Arab Republic,55.8,Syrian Arab Republic,.
Tajikistan,63.5,Tajikistan,8.2
Thailand,66.8,Thailand,2.5
The former Yugoslav republic of Macedonia,67.1,The former Yugoslav republic of Macedonia,9.2
Timor-Leste,59.2,Timor-Leste,3
Togo,53.9,Togo,6.3
Tonga,64.3,Tonga,6.5
Trinidad and Tobago,63.3,Trinidad and Tobago,11
Tunisia,66.3,Tunisia,12.1
Turkey,66,Turkey,.
Turkmenistan,61.4,Turkmenistan,6.9
Uganda,54.9,Uganda,3.8
Ukraine,64,Ukraine,6.1
United Arab Emirates,66.7,United Arab Emirates,3.1
United Kingdom of Great Britain and Northern Ireland,71.9,United Kingdom of Great Britain and Northern Ireland,6.6
United Republic of Tanzania,56.5,United Republic of Tanzania,5.9
United States of America,68.5,United States of America,6
Uruguay,68.8,Uruguay,6.7
Uzbekistan,64.5,Uzbekistan,4.1
Vanuatu,62.7,Vanuatu,6.3
Venezuela (Bolivarian Republic of),66.1,Venezuela (Bolivarian Republic of),15
Viet Nam,67.5,Viet Nam,7.3
Yemen,55.1,Yemen,6.1
Zambia,54.3,Zambia,3.5
Zimbabwe,54.4,Zimbabwe,9.9
